nom,iata,icao
Chestermere (Kirkby Field) Airport,,CFX8
Chatham-Kent Airport,XCM,CYCK
Chibougamau/Chapais Airport,YMT,CYMT
Dawson City Airport,YDA,CYDA
De Winton/South Calgary Airport,,CEH4
Chevery Airport,YHR,CYHR
Cheadle Airport,TIL,CFQ4
Davin Lake Airport,,
Dawson City Water Aerodrome,,
Damyns Hall Aerodrome,,EGML
Wonju Airport,WJU,RKNW
Algiers Houari Boumediene Airport,ALG,DAAG
Jinhae Airport,CHF,RKPE
Aomori Airport,AOJ,RJSA
Dibba Airport,BYB,
Tallinn Airport,TLL,EETN
Falcone–Borsellino Airport,PMO,LICJ
Sitia Public Airport,JSH,LGST
Aldan Airport,ADH,UEEA
Dr. Antonio Nicolás Briceño Airport,VLV,SVVL
Eppley Airfield,OMA,KOMA
RAF Cranwell,,EGYD
Eindhoven Airport,EIN,EHEH
Fuzhou Changle International Airport,FOC,ZSFZ
Punta Cana International Airport,PUJ,MDPC
Rankin Inlet Airport,YRT,CYRT
Hawkins Field
Luis Muñoz Marín International Airport,SJU,TJSJ
Karpathos Island National Airport,AOK,LGKP
Poznań-Ławica Airport,POZ,EPPO
Ángel Adami Airport,,SUAA
Angoulême – Brie – Champniers Airport,ANG,LFBU
Hatay Airport
Anapa Airport,AAQ,URKA
Annecy – Haute-Savoie – Mont Blanc Airport,NCY,LFLP
Andrés Sabella Airport,ANF,SCFA
Aktau Airport,SCO,UATE
Aosta Airport,AOT,LIMW
Aktobe Airport,AKX,UATT
Artigas Airport,ATI,SUAG
Arcata-Eureka Airport,ACV,KACV
César Manrique Lanzarote Airport,ACE,GCRR
Arusha Airport,ARK
Arvidsjaur Airport,AJR,ESNX
Atlantic City International Airport,ACY,KACY
Atyrau Airport,GUW,UATG
Ranon Airport,OVD,LEAS
Aurillac Airport,AUR,LFLW
Doaktown Airport,,
Dolpa Airport,DOP,VNDP
Divo Airport,DIV,DIDV
Cochise County Airport,CWX,
Cooch Behar Airport,COH,VECO
Devi Ahilyabai Holkar Airport,IDR,VAID
Cordova Municipal Airport,CKU,
Corn Island Airport,RNI,MNCI
Clyde River Airport,YCY,CYCY
Colville Lake Airport,YCK,CYVL
Dillingham Airport,DLG,PADL
Chicken Airport,CKX,
Dangriga Airport,DGA,MZPB
D'Arros Island Airport,,FSDA
Deadman's Cay Airport,LGI,MYLD
Deadhorse Airport,SCC,PASC
Jeremiah Denton Airport,,K4R9
Chignik Lake Airport,KCQ,
Chico Municipal Airport,CIC,KCIC
Chemehuevi Valley Airport,,
Chignik Lagoon Airport,KCL,
Chefornak Airport,CYF,PACK
Chignik Fisheries Airport,,
Chignik Airport,,PAJC
Chenega Bay Airport,NCN,PFCB
Dane County Regional Airport,MSN,KMSN
Deblois Flight Strip,,
Dalton Municipal Airport,DNN,KDNN
Cherokee County Airport,,KCNI
Danville Regional Airport,DAN,KDAN
Darley Moor Airfield,,
Cheboygan County Airport,,KSLH
Chernihiv Shestovitsa Airport,CEJ,UKKL
Darlington County Jetport,UDG,KUDG
Daloa Airport,DJO,DIDL
Daocheng Yading Airport,DCY,ZUDC
Daru Airport,DAU,AYDU
