id,nom,iata,icao
m58, Murmansk,MMK,ULMM
m59,Vitebsk,VTB,UMII
m60,Palmerston Airport,PMR,NZPM
m61,Halifax Stanfield International,YHZ,CYHZ
m62,"Marseille, Lentoasema (MRS)", MRS,LFML
m63,Karup (Karup) (KRP),KRP,EKKA
m64,Konawaruk (Konawaruk) (KKG),KKG,SYKZ
m65,Brisbane,BNE,YBBN
m66,Kisumu (Kisumu) (KIS),KIS,HKKI
m67,Alpe Adria (Klagenfurt) (KLU),KLU,LOWK
m68,Drietabbetje (Drietabbetje) (DRJ),DRJ,SMDA
m69,Kitakyushu,KKJ,RJFR
m70,Wairoa (Wairoa) (WIR),WIR,NZWO
m71,Dhahran (Dhahran) (DHA),DHA,OEDR
m72,Aracatuba (Aracatuba) (ARU),ARU,SBAU
m73,Brnik (Ljubljana) (LJU),LJU,LJLJ
m74,Cluj-Napoca Aeropuerto (CLJ), CLJ,LRCL
m75,Gunsan (Gunsan) (KUV),KUV,RKJK
m76,Moscow Sheremetyevo Alexander S. Pushkin Intl,(SVO),UUEE
m77,Araak (Araak) (AJK),AJK,FHAW
m78,Homalin (Homalin) (HOX),HOX,VYHL
m79,Dnepropetrovsk,DNK,UKDD
m80,Alluitsup Paa (Alluitsup Paa) (LLU),LLU,BGAP
m81,Aitutaki (Aitutaki) (AIT),AIT,NCAI
m82,Pelaneng (Pelaneng) (PEL),PEL,FXPG
m83,Ataturk (Istanbul) (IST),IST,LTBA
m84,Kongiganak (Kongiganak) (KKH),KKH,PADY
m85,Copenhagen Airport,CPH,EKCH
m86,Aachen/Merzbruck (Aachen) (AAH),AAH,EDKA
m87,Reykjavik Airport,RKV,BIRK
m88,Flughafen Penang (PEN), PEN,WMKP
m89,Durrie (Durrie) (DRR),DRR,YDRI
m90,Cazombo (Cazombo) (CAV),CAV,FNCZ
m91,Montego Bay Sangster International,MBJ,MKJS
m92,Olongapo City Subic Bay International,SFS,RPLB
m93,Osijek (Osijek) (OSI),OSI,LDOS
m94,"Gaborone, Sir Seretse Khamas flygplats (GBE)", GBE,FBSK
m95,Tiko (Tiko) (TKC),TKC,FKKC
m96,Alert (Alert) (YLT),YLT,CYLT
m97,Araxos Airport (Patras) (GPA),GPA,LGRX
m98,Tanjung Selor (Tanjung Selor) (TJS),TJS,WALG
m99,Kaoshiung International Airport (Kaohsiung) (KHH),KHH,RCKH
m100,Addison Airport (Dallas) (ADS),ADS,KADS
m101,Oslo Gardermoen Airport,OSL,ENGM
m102,Catania Aeropuerto Fontanarossa (CTA), CTA,LICC
m103,Biliau (Biliau) (BIJ),BIJ,KBIJ
m104,Amman Marka lufthavn (ADJ), ADJ,OJAM
m105,Aeroporto de Lanarca (LCA), LCA,LCLK
m106,Constantine The Great International (Nis) (INI),INI,LYNI
m107,Flugplatz (Wangerooge) (AGE),AGE,EDWG
m108, Ivanovo Yuzhny,IWA,UUBI
m109,Kandahar International,KDH,OAKN
m110,Cardiff,CWL,EGFF
m111, Krasnodar Pashkovsky,KRR,URKK
m112,Abha (Abha) (AHB),AHB,OEAB
m113,Kjaerstad (Mosjoen) (MJF),MJF,ENMS
m114,Tureira (Tureira) (ZTA),ZTA,NTGY
m115,Zadar (Zadar) (ZAD),ZAD,LDZD
m116,Municipal (Drake Fld) (Fayetteville) (FYV),FYV,KFYV
m117,Vigra (Aalesund) (AES),AES,ENAL
m118,Josep Tarradellas El Prat,BCN,LEBL
m119,Paulo Afonso (Paulo Afonso) (PAV),PAV,SBUF
